0.100000 10.836542 3.426815 1.193056 1.000000
0.200000 10.884817 4.867838 0.596528 1.000000
0.300000 10.901170 5.970817 0.397685 1.000000
0.400000 10.908499 6.899140 0.298264 1.000000
0.500000 10.911528 7.715616 0.238611 1.000000
0.600000 10.910267 8.451056 0.198843 1.000000
0.700000 10.905870 9.124506 0.170437 1.000000
0.800000 10.897793 9.747283 0.149132 1.000000
0.900000 10.886591 10.327927 0.132562 1.000000
1.000000 10.870850 10.870850 0.119306 1.000000
1.100000 10.851405 11.381049 0.108460 1.000000
1.200000 10.824559 11.857710 0.099421 1.000000
1.300000 10.793004 12.305918 0.091774 1.000000
1.400000 10.752971 12.723087 0.085218 1.000000
1.500000 10.707784 13.114304 0.079537 1.000000
1.600000 10.657399 13.480662 0.074566 1.000000
1.700000 10.600554 13.821431 0.070180 1.000000
1.800000 10.541519 14.142931 0.066281 1.000000
1.900000 10.480479 14.446343 0.062792 1.000000
2.000000 10.415093 14.729166 0.059653 1.000000
2.100000 10.346774 14.993900 0.056812 1.000000
2.200000 10.278393 15.245320 0.054230 1.000000
2.300000 10.211025 15.485785 0.051872 1.000000
2.400000 10.143038 15.713526 0.049711 1.000000
2.500000 10.073634 15.927814 0.047722 1.000000
2.600000 10.002422 16.128421 0.045887 1.000000
2.700000 9.931086 16.318440 0.044187 1.000000
2.800000 9.861780 16.501914 0.042609 1.000000
2.900000 9.794154 16.678843 0.041140 1.000000
3.000000 9.727906 16.849228 0.039769 1.000000
3.100000 9.662645 17.012843 0.038486 1.000000
3.200000 9.596468 17.166684 0.037283 1.000000
3.300000 9.529532 17.311255 0.036153 1.000000
3.400000 9.462684 17.448326 0.035090 1.000000
3.500000 9.396292 17.578853 0.034087 1.000000
3.600000 9.331028 17.704381 0.033140 1.000000
3.700000 9.268028 17.827408 0.032245 1.000000
3.800000 9.207587 17.948891 0.031396 1.000000
3.900000 9.149024 18.067874 0.030591 1.000000
4.000000 9.091883 18.183767 0.029826 1.000000
4.100000 9.035852 18.296205 0.029099 1.000000
4.200000 8.980237 18.404009 0.028406 1.000000
4.300000 8.925347 18.507992 0.027745 1.000000
4.400000 8.869858 18.605571 0.027115 1.000000
4.500000 8.814327 18.698011 0.026512 1.000000
4.600000 8.758827 18.785590 0.025936 1.000000
4.700000 8.703782 18.869351 0.025384 1.000000
4.800000 8.650064 18.951340 0.024855 1.000000
4.900000 8.597355 19.031056 0.024348 1.000000
5.000000 8.546069 19.109591 0.023861 1.000000
