2.394394 0.001944 -0.360000 -1.085110
2.380030 0.018981 -0.350000 -1.105627
2.365666 0.036018 -0.340000 -1.120045
2.351302 0.053055 -0.330000 -1.131783
2.336938 0.070092 -0.320000 -1.141780
2.322575 0.087129 -0.310000 -1.150498
2.308211 0.104166 -0.300000 -1.158213
2.293847 0.121202 -0.290000 -1.165110
2.279483 0.138239 -0.280000 -1.171321
2.265119 0.155276 -0.270000 -1.176945
2.250755 0.172313 -0.260000 -1.182059
2.236391 0.189350 -0.250000 -1.186724
2.222027 0.206387 -0.240000 -1.190992
2.207663 0.223424 -0.230000 -1.194905
2.193300 0.240461 -0.220000 -1.198497
2.178936 0.257498 -0.210000 -1.201800
2.164572 0.274535 -0.200000 -1.204841
2.150208 0.291572 -0.190000 -1.207641
2.135844 0.308609 -0.180000 -1.210222
2.121480 0.325646 -0.170000 -1.212603
2.107116 0.342683 -0.160000 -1.214798
2.092752 0.359720 -0.150000 -1.216823
2.078388 0.376757 -0.140000 -1.218691
2.064025 0.393794 -0.130000 -1.220413
2.049661 0.410831 -0.120000 -1.222001
2.035297 0.427868 -0.110000 -1.223465
2.020933 0.444905 -0.100000 -1.224813
2.006569 0.461941 -0.090000 -1.226055
1.992205 0.478978 -0.080000 -1.227197
1.977841 0.496015 -0.070000 -1.228248
1.963477 0.513052 -0.060000 -1.229213
1.949113 0.530089 -0.050000 -1.230100
1.934750 0.547126 -0.040000 -1.230914
1.920386 0.564163 -0.030000 -1.231659
1.906022 0.581200 -0.020000 -1.232343
1.891658 0.598237 -0.010000 -1.232968
1.877294 0.615274 0.000000 -1.233540

0.440905 2.318969 1.000000 -1.288215
0.426541 2.336006 1.010000 -1.288735
0.412177 2.353043 1.020000 -1.289196
0.397813 2.370080 1.030000 -1.289594
0.383449 2.387117 1.040000 -1.289923
0.369086 2.404154 1.050000 -1.290177
0.354722 2.421191 1.060000 -1.290349
0.340358 2.438228 1.070000 -1.290432
0.325994 2.455265 1.080000 -1.290418
0.311630 2.472302 1.090000 -1.290298
0.297266 2.489339 1.100000 -1.290062
0.282902 2.506375 1.110000 -1.289702
0.268538 2.523412 1.120000 -1.289204
0.254174 2.540449 1.130000 -1.288556
0.239811 2.557486 1.140000 -1.287744
0.225447 2.574523 1.150000 -1.286752
0.211083 2.591560 1.160000 -1.285562
0.196719 2.608597 1.170000 -1.284153
0.182355 2.625634 1.180000 -1.282502
0.167991 2.642671 1.190000 -1.280581
0.153627 2.659708 1.200000 -1.278358
0.139263 2.676745 1.210000 -1.275796
0.124899 2.693782 1.220000 -1.272847
0.110536 2.710819 1.230000 -1.269455
0.096172 2.727856 1.240000 -1.265548
0.081808 2.744893 1.250000 -1.261033
0.067444 2.761930 1.260000 -1.255782
0.053080 2.778967 1.270000 -1.249613
0.038716 2.796004 1.280000 -1.242242
0.024352 2.813041 1.290000 -1.233162
0.009988 2.830078 1.300000 -1.221176

